STUDIENR,KURSKODE,KURSTXT,BEDOMMELSE,SKALA,ECTS,UDPROVNING,CENSUR,SEMESTER,SEMESTER_START,SEMESTER_END,DURATION_DAYS,ATTEMPT
STNR006564,2346,DISTRIBUEREDE OG PARALLELLE SYSTEMER,IG,7-trinsskala,5,Skriftlig,ekstern censur,"Spring 2019, Spring 2021",2019-02-01,2019-08-02,182,2
STNR006564,62410,CDIO-PROJEKT,2,7-trinsskala,10,Mundtlig,intern censur,"Spring 2019, Spring 2019",2019-02-01,2019-08-02,182,2
STNR006564,62589,BUSINESS INTELLIGENCE,7,7-trinsskala,5,Mundtlig,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR006564,62999,INNOVATION PILOT,10,7-trinsskala,10,Afløsningsopgave,intern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR006564,62407,INTERNET OF THINGS - TEORI OG PRAKSIS,EM,7-trinsskala,5,Mundtlig,intern censur,"Fall 2019, Fall 2020, Spring 2019",2019-02-01,2019-11-01,273,3
STNR006564,PRA62-30,INGENIORPRAKTIK,BE,bestået/ikke bestået,30,Praktik,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR006564,62437,VIDEREGAENDE MOBILAPPLIKATIONSUDVIKLING MED PROJEKT,EM,7-trinsskala,10,Mundtlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR006564,62416,VIDEREGAENDE MOBILAPPLIKATIONSUDVIKLING,EM,7-trinsskala,5,Mundtlig,intern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR006653,62577,DATAKOMMUNIKATION,7,7-trinsskala,5,Afløsningsopgave,ekstern censur,Spring 2017,2017-02-01,2017-05-03,91,1
STNR006653,2368,OBJEKTORIENTERET ANALYSE OG DESIGN,7,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2017,2017-08-01,2017-10-31,91,1
STNR006653,2347,PARALLELLE SYSTEMER,4,7-trinsskala,5,Afløsningsopgave,ekstern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR006653,62410,CDIO-PROJEKT,10,7-trinsskala,10,Mundtlig,intern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR006653,62596,DISTRIBUEREDE SYSTEMER,4,7-trinsskala,5,Skriftlig,intern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR006653,62413,AVANCERET OBJEKTORIENTERET PROGRAMMERING MED C# OG .NET,2,7-trinsskala,5,Mundtlig,intern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR006653,62550,BRUGERINTERAKTION OG UDVIKLING PA MOBILE ENHEDER,10,7-trinsskala,10,Skriftlig,ekstern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR006653,62588,OPERATIVSYSTEMER,4,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR006653,2180,INTRODUKTION TIL KUNSTIG INTELLIGENS,EM,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR006653,62417,MOBIL APPLIKATIONSUDVIKLING MED SWIFT,EM,7-trinsskala,5,Mundtlig,intern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR006653,62501,LINUX SERVER OG NETVAERK,EM,7-trinsskala,5,Skriftlig,intern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR006653,2157,FUNKTIONSPROGRAMMERING,IB,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR006653,62437,VIDEREGAENDE MOBILAPPLIKATIONSUDVIKLING MED PROJEKT,12,7-trinsskala,10,Mundtlig,intern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR006878,2326,ALGORITMER OG DATASTRUKTURER,EM,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2017,2017-02-01,2017-05-03,91,1
STNR006878,62410,CDIO-PROJEKT,EM,7-trinsskala,10,Skriftlig,intern censur,"Spring 2017, Spring 2017",2017-02-01,2017-08-02,182,2
STNR006878,2347,PARALLELLE SYSTEMER,EM,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2017,2017-08-01,2017-10-31,91,1
STNR007492,62530,NETVAERKSSIKKERHED,7,7-trinsskala,5,Skriftlig,intern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR007492,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,4,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR007492,1920,BASISMAT 2 - VIDEREGAENDE MATEMATIK FOR DIPLOMINGENIORER,0,7-trinsskala,5,Skriftlig,intern censur,"Fall 2019, Spring 2019",2019-02-01,2019-08-02,182,2
STNR007492,62527,BIG DATA,7,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR007654,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,EM,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2017,2017-02-01,2017-05-03,91,1
STNR007654,1901,BASISMAT - INDLEDENDE MATEMATIK FOR DIPLOMINGENIORER,EM,7-trinsskala,5,Afløsningsopgave,intern censur,"Fall 2018, Spring 2017",2017-02-01,2017-08-02,182,2
STNR007654,2362,PROJEKT I SOFTWARE-UDVIKLING,EM,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2017,2017-08-01,2017-10-31,91,1
STNR007654,1904,DISKRET MATEMATIK,EM,7-trinsskala,5,Skriftlig,intern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR007657,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,EM,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2017,2017-02-01,2017-05-03,91,1
STNR007657,62576,NETVAERKSPRAKTIK,EM,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2017,2017-02-01,2017-05-03,91,1
STNR007657,62577,DATAKOMMUNIKATION,EM,7-trinsskala,5,Afløsningsopgave,ekstern censur,"Spring 2017, Spring 2017",2017-02-01,2017-08-02,182,2
STNR010883,2313,UDVIKLINGSMETODER TIL IT-SYSTEMER,7,7-trinsskala,5,Mundtlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR010883,2324,VIDEREGAENDE PROGRAMMERING,10,7-trinsskala,10,Skriftlig,ekstern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR010883,2326,ALGORITMER OG DATASTRUKTURER,4,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR010883,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,12,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR010883,1904,DISKRET MATEMATIK,-3,7-trinsskala,5,Skriftlig,intern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR010883,2312,INDLEDENDE PROGRAMMERING,10,7-trinsskala,10,Skriftlig,ekstern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR010883,2315,VERSIONSSTYRING OG TESTMETODER,10,7-trinsskala,5,Mundtlig,ekstern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR011221,1904,DISKRET MATEMATIK,7,7-trinsskala,5,Skriftlig,intern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR011221,2105,ALGORITMER OG DATASTRUKTURER 1,4,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR011221,2313,UDVIKLINGSMETODER TIL IT-SYSTEMER,12,7-trinsskala,5,Mundtlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR011221,2322,MASKINNAER PROGRAMMERING,4,7-trinsskala,5,Skriftlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR011221,2324,VIDEREGAENDE PROGRAMMERING,7,7-trinsskala,10,Skriftlig,ekstern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR011221,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,12,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR011221,2312,INDLEDENDE PROGRAMMERING,12,7-trinsskala,10,Skriftlig,ekstern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR011221,2315,VERSIONSSTYRING OG TESTMETODER,7,7-trinsskala,5,Mundtlig,ekstern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR011325,1005,MATEMATIK 1,12,7-trinsskala,20,Skriftlig,ekstern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR011325,2313,UDVIKLINGSMETODER TIL IT-SYSTEMER,12,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR011325,2315,VERSIONSSTYRING OG TESTMETODER,12,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR011325,2322,MASKINNAER PROGRAMMERING,12,7-trinsskala,5,Skriftlig,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR011325,2324,VIDEREGAENDE PROGRAMMERING,12,7-trinsskala,10,Skriftlig,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR011325,2326,ALGORITMER OG DATASTRUKTURER,12,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR011325,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,12,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR011325,62577,DATAKOMMUNIKATION,12,7-trinsskala,5,Afløsningsopgave,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR011325,1904,DISKRET MATEMATIK,12,7-trinsskala,5,Skriftlig,intern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR011325,2110,ALGORITMER OG DATASTRUKTURER 2,12,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR011325,2312,INDLEDENDE PROGRAMMERING,12,7-trinsskala,10,Mundtlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR011325,2369,SOFTWARE PROCESSER OG MONSTRE,BE,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR011325,2323,INTRODUKTION TIL STATISTIK,12,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR011325,2346,DISTRIBUEREDE OG PARALLELLE SYSTEMER,10,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR011325,62410,CDIO-PROJEKT,12,7-trinsskala,10,Mundtlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR011325,62413,AVANCERET OBJEKTORIENTERET PROGRAMMERING MED C# OG .NET,10,7-trinsskala,5,Mundtlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR011325,62530,NETVAERKSSIKKERHED,12,7-trinsskala,5,Skriftlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR011325,62597,"BACKENDUDVIKLING, DRIFT OG DISTRIBUEREDE SYSTEMER",12,7-trinsskala,5,Skriftlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR011325,2332,COMPILERTEKNIK,12,7-trinsskala,5,Skriftlig,intern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR011325,62550,BRUGERINTERAKTION OG UDVIKLING PA MOBILE ENHEDER,12,7-trinsskala,10,Skriftlig,ekstern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR011652,1904,DISKRET MATEMATIK,10,7-trinsskala,5,Skriftlig,intern censur,"Fall 2019, Spring 2019",2019-02-01,2019-08-02,182,2
STNR011652,2313,UDVIKLINGSMETODER TIL IT-SYSTEMER,7,7-trinsskala,5,Mundtlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR011652,2322,MASKINNAER PROGRAMMERING,0,7-trinsskala,5,Skriftlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR011652,2324,VIDEREGAENDE PROGRAMMERING,2,7-trinsskala,10,Skriftlig,ekstern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR011652,2326,ALGORITMER OG DATASTRUKTURER,-3,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR011652,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,EM,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR011652,1901,BASISMAT - INDLEDENDE MATEMATIK FOR DIPLOMINGENIORER,-3,7-trinsskala,5,Afløsningsopgave,intern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR011652,2312,INDLEDENDE PROGRAMMERING,4,7-trinsskala,10,Skriftlig,ekstern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR011652,2315,VERSIONSSTYRING OG TESTMETODER,7,7-trinsskala,5,Mundtlig,ekstern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR012005,62999,INNOVATION PILOT,7,7-trinsskala,10,Afløsningsopgave,intern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR012005,2323,INTRODUKTION TIL STATISTIK,IG,7-trinsskala,5,Skriftlig,ekstern censur,"Fall 2019, Spring 2019",2019-02-01,2019-08-02,182,2
STNR012471,2313,UDVIKLINGSMETODER TIL IT-SYSTEMER,10,7-trinsskala,5,Mundtlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR012471,2322,MASKINNAER PROGRAMMERING,12,7-trinsskala,5,Skriftlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR012471,2324,VIDEREGAENDE PROGRAMMERING,10,7-trinsskala,10,Skriftlig,ekstern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR012471,2326,ALGORITMER OG DATASTRUKTURER,10,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR012471,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,7,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR012471,62577,DATAKOMMUNIKATION,10,7-trinsskala,5,Afløsningsopgave,ekstern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR012471,1901,BASISMAT - INDLEDENDE MATEMATIK FOR DIPLOMINGENIORER,10,7-trinsskala,5,Afløsningsopgave,intern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR012471,1904,DISKRET MATEMATIK,7,7-trinsskala,5,Skriftlig,intern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR012471,2312,INDLEDENDE PROGRAMMERING,10,7-trinsskala,10,Skriftlig,ekstern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR012471,2315,VERSIONSSTYRING OG TESTMETODER,12,7-trinsskala,5,Mundtlig,ekstern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR012607,2315,VERSIONSSTYRING OG TESTMETODER,10,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2017,2017-08-01,2017-10-31,91,1
STNR012607,2324,VIDEREGAENDE PROGRAMMERING,12,7-trinsskala,10,Skriftlig,ekstern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR012607,2326,ALGORITMER OG DATASTRUKTURER,4,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR012607,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,4,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR012607,62577,DATAKOMMUNIKATION,4,7-trinsskala,5,Afløsningsopgave,ekstern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR012607,1904,DISKRET MATEMATIK,7,7-trinsskala,5,Skriftlig,intern censur,"Fall 2018, Spring 2018",2018-02-01,2018-08-02,182,2
STNR012607,62409,C PROGRAMMERING FOR JAVA PROGRAMMORER,EM,7-trinsskala,5,Mundtlig,intern censur,"Spring 2018, Spring 2019",2018-02-01,2018-08-02,182,2
STNR012607,1901,BASISMAT - INDLEDENDE MATEMATIK FOR DIPLOMINGENIORER,4,7-trinsskala,5,Afløsningsopgave,intern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR012607,2312,INDLEDENDE PROGRAMMERING,7,7-trinsskala,10,Mundtlig,ekstern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR012607,2369,SOFTWARE PROCESSER OG MONSTRE,2,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR012607,2180,INTRODUKTION TIL KUNSTIG INTELLIGENS,7,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR012607,2346,DISTRIBUEREDE OG PARALLELLE SYSTEMER,10,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR012607,62410,CDIO-PROJEKT,12,7-trinsskala,10,Mundtlig,intern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR012607,62413,AVANCERET OBJEKTORIENTERET PROGRAMMERING MED C# OG .NET,10,7-trinsskala,5,Mundtlig,intern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR012607,1920,BASISMAT 2 - VIDEREGAENDE MATEMATIK FOR DIPLOMINGENIORER,0,7-trinsskala,5,Skriftlig,intern censur,"Spring 2019, Spring 2019",2019-02-01,2019-08-02,182,2
STNR012607,62550,BRUGERINTERAKTION OG UDVIKLING PA MOBILE ENHEDER,10,7-trinsskala,10,Skriftlig,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR012607,62573,PROGRAMMERING AF INTELLIGENTE KORETOJER OG MOBILE APPLIKATIONER,EM,bestået/ikke bestået,5,Afløsningsopgave,intern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR012607,62588,OPERATIVSYSTEMER,7,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR012607,62598,KUNSTIG INTELLIGENS I COMPUTERSPIL,4,7-trinsskala,5,Skriftlig,intern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR012607,2332,COMPILERTEKNIK,EM,7-trinsskala,5,Skriftlig,intern censur,"Fall 2019, Fall 2020",2019-08-01,2020-01-30,182,2
STNR012607,2157,FUNKTIONSPROGRAMMERING,EM,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR012607,62999,INNOVATION PILOT,7,7-trinsskala,10,Afløsningsopgave,intern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR012924,2110,ALGORITMER OG DATASTRUKTURER 2,IG,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR012924,2239,DATASIKKERHED,2,7-trinsskala,"7,5",Skriftlig,intern censur,"Fall 2019, Spring 2019",2019-02-01,2019-08-02,182,2
STNR012930,2313,UDVIKLINGSMETODER TIL IT-SYSTEMER,10,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2017,2017-08-01,2017-10-31,91,1
STNR012930,2315,VERSIONSSTYRING OG TESTMETODER,10,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2017,2017-08-01,2017-10-31,91,1
STNR012930,2324,VIDEREGAENDE PROGRAMMERING,EM,7-trinsskala,10,Skriftlig,ekstern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR012930,2326,ALGORITMER OG DATASTRUKTURER,IG,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR012930,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,EM,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR012930,62409,C PROGRAMMERING FOR JAVA PROGRAMMORER,EM,7-trinsskala,5,Mundtlig,intern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR012930,62577,DATAKOMMUNIKATION,EM,7-trinsskala,5,Afløsningsopgave,ekstern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR012930,1904,DISKRET MATEMATIK,12,7-trinsskala,5,Skriftlig,intern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR013067,1901,BASISMAT - INDLEDENDE MATEMATIK FOR DIPLOMINGENIORER,7,7-trinsskala,5,Afløsningsopgave,intern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR013067,1920,BASISMAT 2 - VIDEREGAENDE MATEMATIK FOR DIPLOMINGENIORER,7,7-trinsskala,5,Skriftlig,intern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR013067,2323,INTRODUKTION TIL STATISTIK,EM,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR013324,2313,UDVIKLINGSMETODER TIL IT-SYSTEMER,10,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR013324,2315,VERSIONSSTYRING OG TESTMETODER,10,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR013324,2322,MASKINNAER PROGRAMMERING,12,7-trinsskala,5,Skriftlig,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR013324,2324,VIDEREGAENDE PROGRAMMERING,12,7-trinsskala,10,Skriftlig,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR013324,2326,ALGORITMER OG DATASTRUKTURER,10,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR013324,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,10,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR013324,62577,DATAKOMMUNIKATION,12,7-trinsskala,5,Afløsningsopgave,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR013324,1901,BASISMAT - INDLEDENDE MATEMATIK FOR DIPLOMINGENIORER,10,7-trinsskala,5,Afløsningsopgave,intern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR013324,1904,DISKRET MATEMATIK,7,7-trinsskala,5,Skriftlig,intern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR013324,2312,INDLEDENDE PROGRAMMERING,10,7-trinsskala,10,Mundtlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR013324,2323,INTRODUKTION TIL STATISTIK,7,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR013324,2369,SOFTWARE PROCESSER OG MONSTRE,BE,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR013324,62588,OPERATIVSYSTEMER,10,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR013324,1920,BASISMAT 2 - VIDEREGAENDE MATEMATIK FOR DIPLOMINGENIORER,10,7-trinsskala,5,Skriftlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR013324,2346,DISTRIBUEREDE OG PARALLELLE SYSTEMER,4,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR013324,42415,TEKNISK OKONOMI,7,7-trinsskala,5,Skriftlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR013324,62410,CDIO-PROJEKT,7,7-trinsskala,10,Mundtlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR013324,62597,"BACKENDUDVIKLING, DRIFT OG DISTRIBUEREDE SYSTEMER",10,7-trinsskala,5,Skriftlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR013324,2332,COMPILERTEKNIK,12,7-trinsskala,5,Skriftlig,intern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR013324,62550,BRUGERINTERAKTION OG UDVIKLING PA MOBILE ENHEDER,10,7-trinsskala,10,Skriftlig,ekstern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR013409,2313,UDVIKLINGSMETODER TIL IT-SYSTEMER,0,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR013409,2315,VERSIONSSTYRING OG TESTMETODER,10,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR013409,2322,MASKINNAER PROGRAMMERING,EM,7-trinsskala,5,Skriftlig,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR013409,2324,VIDEREGAENDE PROGRAMMERING,EM,7-trinsskala,10,Skriftlig,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR013409,2326,ALGORITMER OG DATASTRUKTURER,IG,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR013409,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,EM,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR013409,62577,DATAKOMMUNIKATION,EM,7-trinsskala,5,Afløsningsopgave,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR013409,1901,BASISMAT - INDLEDENDE MATEMATIK FOR DIPLOMINGENIORER,10,7-trinsskala,5,Afløsningsopgave,intern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR013427,62410,CDIO-PROJEKT,7,7-trinsskala,10,Skriftlig,intern censur,Spring 2017,2017-02-01,2017-05-03,91,1
STNR013427,2347,PARALLELLE SYSTEMER,7,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2017,2017-08-01,2017-10-31,91,1
STNR013427,2110,ALGORITMER OG DATASTRUKTURER 2,2,7-trinsskala,5,Skriftlig,ekstern censur,"Fall 2017, Fall 2018",2017-08-01,2018-01-30,182,2
STNR013427,42101,INTRODUKTION TIL OPERATIONSANALYSE,IG,7-trinsskala,5,Skriftlig,ekstern censur,"Fall 2019, Spring 2018",2018-02-01,2018-08-02,182,2
STNR013427,62598,KUNSTIG INTELLIGENS I COMPUTERSPIL,IG,7-trinsskala,5,Skriftlig,intern censur,"Fall 2019, Spring 2018",2018-02-01,2018-08-02,182,2
STNR013427,2823,COMPUTERSPILPROTOTYPER,12,7-trinsskala,5,Skriftlig,intern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR013427,62413,AVANCERET OBJEKTORIENTERET PROGRAMMERING MED C# OG .NET,7,7-trinsskala,5,Mundtlig,intern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR013427,62999,INNOVATION PILOT,4,7-trinsskala,10,Afløsningsopgave,intern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR013427,1920,BASISMAT 2 - VIDEREGAENDE MATEMATIK FOR DIPLOMINGENIORER,-3,7-trinsskala,5,Skriftlig,intern censur,"Fall 2019, Fall 2020, Spring 2018",2018-02-01,2018-11-01,273,3
STNR013427,PRA62-30,INGENIORPRAKTIK,BE,bestået/ikke bestået,30,Praktik,intern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR013506,62410,CDIO-PROJEKT,7,7-trinsskala,10,Skriftlig,intern censur,Spring 2017,2017-02-01,2017-05-03,91,1
STNR013506,62588,OPERATIVSYSTEMER,EM,7-trinsskala,5,Skriftlig,ekstern censur,"Fall 2019, Spring 2017",2017-02-01,2017-08-02,182,2
