STUDIENR,KURSKODE,KURSTXT,BEDOMMELSE,SKALA,ECTS,UDPROVNING,CENSUR,SEMESTER,SEMESTER_START,SEMESTER_END,DURATION_DAYS,ATTEMPT
STNR005832,62410,CDIO-PROJEKT,10,7-trinsskala,10,Mundtlig,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR005832,2326,ALGORITMER OG DATASTRUKTURER,7,7-trinsskala,5,Skriftlig,ekstern censur,"Spring 2020, Spring 2021",2020-02-01,2020-08-01,182,2
STNR005832,2332,COMPILERTEKNIK,10,7-trinsskala,5,Skriftlig,intern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR005832,62530,NETVAERKSSIKKERHED,12,7-trinsskala,5,Skriftlig,intern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR005832,62550,BRUGERINTERAKTION OG UDVIKLING PA MOBILE ENHEDER,12,7-trinsskala,10,Skriftlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR005832,62588,OPERATIVSYSTEMER,4,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR005832,62618,OKONOMI,4,bestået/ikke bestået,5,Skriftlig,intern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR005832,62413,AVANCERET OBJEKTORIENTERET PROGRAMMERING MED C# OG .NET,4,7-trinsskala,5,Mundtlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR005832,62437,VIDEREGAENDE MOBILAPPLIKATIONSUDVIKLING MED PROJEKT,7,7-trinsskala,10,Afløsningsopgave,intern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR005832,62999,INNOVATION PILOT,4,7-trinsskala,10,Afløsningsopgave,intern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR005833,2313,UDVIKLINGSMETODER TIL IT-SYSTEMER,10,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR005833,2315,VERSIONSSTYRING OG TESTMETODER,12,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR005833,2324,VIDEREGAENDE PROGRAMMERING,10,7-trinsskala,10,Skriftlig,ekstern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR005833,2326,ALGORITMER OG DATASTRUKTURER,7,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR005833,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,10,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR005833,62409,C PROGRAMMERING FOR JAVA PROGRAMMORER,4,7-trinsskala,5,Mundtlig,intern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR005833,62577,DATAKOMMUNIKATION,7,7-trinsskala,5,Afløsningsopgave,ekstern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR005833,1901,BASISMAT - INDLEDENDE MATEMATIK FOR DIPLOMINGENIORER,10,7-trinsskala,5,Afløsningsopgave,intern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR005833,1904,DISKRET MATEMATIK,12,7-trinsskala,5,Skriftlig,intern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR005833,2312,INDLEDENDE PROGRAMMERING,10,7-trinsskala,10,Mundtlig,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR005833,2323,INTRODUKTION TIL STATISTIK,7,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR005833,2369,SOFTWARE PROCESSER OG MONSTRE,BE,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR005833,2346,DISTRIBUEREDE OG PARALLELLE SYSTEMER,7,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR005833,62410,CDIO-PROJEKT,10,7-trinsskala,10,Mundtlig,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR005833,62417,MOBIL APPLIKATIONSUDVIKLING MED SWIFT,10,7-trinsskala,5,Mundtlig,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR005833,1920,BASISMAT 2 - VIDEREGAENDE MATEMATIK FOR DIPLOMINGENIORER,0,7-trinsskala,5,Skriftlig,intern censur,"Fall 2021, Spring 2020",2020-02-01,2020-08-01,182,2
STNR005833,2332,COMPILERTEKNIK,10,7-trinsskala,5,Skriftlig,intern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR005833,62550,BRUGERINTERAKTION OG UDVIKLING PA MOBILE ENHEDER,10,7-trinsskala,10,Skriftlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
